date,symbol,open,high,low,close,volume,sma,adx,dema,ema,rsi,standardDeviation,tema,williams,wma
28-02-2025,AAPL,236.95,242.09,230.2,241.84,56800433,241.84,100,241.84,241.84,100,0,241.84,-2.1026072329688787,241.84
27-02-2025,AAPL,239.41,242.46,237.06,237.3,41153639,237.3,100,237.3,237.3,0,0,237.3,-95.5555555555554,237.3
26-02-2025,AAPL,244.33,244.98,239.13,240.36,44433600,240.36,100,240.36,240.36,0,0,240.36,-78.97435897435864,240.36
25-02-2025,AAPL,248.0,250.0,244.91,247.04,48013300,247.04,100,247.04,247.04,0,0,247.04,-58.15324165029482,247.04
24-02-2025,AAPL,244.93,248.86,244.42,247.1,51326400,247.1,100,247.1,247.1,100,0,247.1,-39.63963963963984,247.1
21-02-2025,AAPL,245.95,248.69,245.22,245.55,53197431,245.55,100,245.55,245.55,0,0,245.55,-90.48991354466824,245.55
20-02-2025,AAPL,244.94,246.78,244.29,245.83,32316907,245.83,100,245.83,245.83,100,0,245.83,-38.15261044176647,245.83
19-02-2025,AAPL,244.66,246.01,243.16,244.87,32204215,244.87,100,244.87,244.87,100,0,244.87,-39.9999999999996,244.87
18-02-2025,AAPL,244.15,245.18,241.84,244.47,48822500,244.47,0,244.47,244.47,0,0,244.47,-21.257485029940337,244.47
14-02-2025,AAPL,241.25,245.55,240.99,244.6,40896227,244.6,100,244.6,244.6,100,0,244.6,-20.833333333333695,244.6
13-02-2025,AAPL,236.91,242.34,235.57,241.53,53614100,241.53,100,241.53,241.53,100,0,241.53,-11.96454948301331,241.53
12-02-2025,AAPL,231.2,236.96,230.68,236.87,45243300,236.87,100,236.87,236.87,100,0,236.87,-1.4331210191083343,236.87
11-02-2025,AAPL,228.2,235.23,228.13,232.62,53718400,232.62,100,232.62,232.62,100,0,232.62,-36.76056338028151,232.62
10-02-2025,AAPL,229.57,230.59,227.2,227.65,33115645,227.65,100,227.65,227.65,100,0,227.65,-86.72566371681371,227.65
07-02-2025,AAPL,232.6,234.0,227.26,227.63,39707224,227.63,100,227.63,227.63,0,0,227.63,-94.5103857566765,227.63
06-02-2025,AAPL,231.29,233.8,230.43,233.22,29925349,233.22,100,233.22,233.22,100,0,233.22,-17.21068249258195,233.22
05-02-2025,AAPL,228.53,232.67,228.27,232.47,39664989,232.47,0,232.47,232.47,0,0,232.47,-4.5454545454543105,232.47
04-02-2025,AAPL,227.25,233.13,226.65,232.8,45067301,232.8,100,232.8,232.8,100,0,232.8,-5.092592592592355,232.8
03-02-2025,AAPL,229.99,231.83,225.7,228.01,73063301,228.01,100,228.01,228.01,0,0,228.01,-62.31647634584024,228.01
31-01-2025,AAPL,247.19,247.19,233.44,236.0,101075128,236.0,100,236.0,236.0,0,0,236.0,-81.38181818181816,236.0
30-01-2025,AAPL,238.67,240.79,237.21,237.59,55658300,237.59,100,237.59,237.59,0,0,237.59,-89.38547486033528,237.59
29-01-2025,AAPL,234.12,239.86,234.01,239.36,45486100,239.36,0,239.36,239.36,100,0,239.36,-8.547008547008513,239.36
28-01-2025,AAPL,230.85,240.19,230.81,238.26,75707600,238.26,100,238.26,238.26,100,0,238.26,-20.575692963752747,238.26
27-01-2025,AAPL,224.02,232.15,223.98,229.86,94863418,229.86,100,229.86,229.86,100,0,229.86,-28.02937576499373,229.86
24-01-2025,AAPL,224.78,225.63,221.41,222.78,54697907,222.78,100,222.78,222.78,0,0,222.78,-67.53554502369656,222.78
23-01-2025,AAPL,224.74,227.03,222.3,223.66,60234800,223.66,100,223.66,223.66,0,0,223.66,-71.24735729386917,223.66
22-01-2025,AAPL,219.79,224.12,219.79,223.83,64126500,223.83,0,223.83,223.83,100,0,223.83,-6.69745958429541,223.83
21-01-2025,AAPL,224.0,224.42,219.38,222.64,98070429,222.64,100,222.64,222.64,0,0,222.64,-35.317460317460394,222.64
17-01-2025,AAPL,232.12,232.29,228.48,229.98,68488301,229.98,0,229.98,229.98,100,0,229.98,-60.62992125984255,229.98
16-01-2025,AAPL,237.35,238.01,228.03,228.26,71759100,228.26,100,228.26,228.26,0,0,228.26,-97.69539078156323,228.26
15-01-2025,AAPL,234.64,238.96,234.43,237.87,39832000,237.87,100,237.87,237.87,100,0,237.87,-24.061810154525457,237.87
14-01-2025,AAPL,234.75,236.12,232.47,233.28,39435300,233.28,100,233.28,233.28,0,0,233.28,-77.80821917808215,233.28
13-01-2025,AAPL,233.53,234.67,229.72,234.4,49630725,234.4,100,234.4,234.4,0,0,234.4,-5.4545454545451,234.4
10-01-2025,AAPL,240.01,240.16,233.0,236.85,61710900,236.85,100,236.85,236.85,0,0,236.85,-46.22905027932966,236.85
08-01-2025,AAPL,241.92,243.71,240.05,242.7,37628940,242.7,100,242.7,242.7,100,0,242.7,-27.5956284153011,242.7
07-01-2025,AAPL,242.98,245.55,241.35,242.21,40856000,242.21,100,242.21,242.21,0,0,242.21,-79.52380952380929,242.21
06-01-2025,AAPL,244.31,247.33,243.2,245.0,45045600,245.0,100,245.0,245.0,100,0,245.0,-56.41646489104114,245.0
03-01-2025,AAPL,243.36,244.18,241.89,243.36,40244114,243.36,0,243.36,243.36,0,0,243.36,-35.80786026200812,243.36
