date,symbol,open,high,low,close,volume,sma,adx,dema,ema,rsi,standardDeviation,tema,williams,wma
28-02-2025,AMZN,208.65,212.62,206.99,212.28,51714367,212.28,100,212.28,212.28,100,0,212.28,-6.039076376554239,212.28
27-02-2025,AMZN,218.35,219.97,208.37,208.74,40548600,208.74,100,208.74,208.74,0,0,208.74,-96.81034482758616,208.74
26-02-2025,AMZN,214.94,218.16,213.09,214.35,39120603,214.35,100,214.35,214.35,100,0,214.35,-75.14792899408299,214.35
25-02-2025,AMZN,211.63,213.34,204.16,212.8,58958000,212.8,100,212.8,212.8,100,0,212.8,-5.8823529411763795,212.8
24-02-2025,AMZN,217.45,217.72,212.42,212.71,42387600,212.71,100,212.71,212.71,0,0,212.71,-94.52830188679208,212.71
21-02-2025,AMZN,223.28,223.31,214.74,216.58,55323900,216.58,100,216.58,216.58,0,0,216.58,-78.5297549591598,216.58
20-02-2025,AMZN,224.78,225.13,221.81,222.88,30001700,222.88,100,222.88,222.88,0,0,222.88,-67.77108433734954,222.88
19-02-2025,AMZN,225.52,226.83,223.71,226.63,28566709,226.63,100,226.63,226.63,0,0,226.63,-6.410256410256948,226.63
18-02-2025,AMZN,228.82,229.3,223.72,226.65,42975133,226.65,100,226.65,226.65,0,0,226.65,-47.491039426523294,226.65
14-02-2025,AMZN,229.2,229.89,227.23,228.68,27031100,228.68,100,228.68,228.68,0,0,228.68,-45.48872180451057,228.68
13-02-2025,AMZN,228.85,230.42,227.52,230.37,31346512,230.37,100,230.37,230.37,100,0,230.37,-1.7241379310339082,230.37
12-02-2025,AMZN,230.46,231.18,228.16,228.93,32285249,228.93,100,228.93,228.93,0,0,228.93,-74.50331125827789,228.93
11-02-2025,AMZN,231.92,233.44,230.13,232.76,23713726,232.76,0,232.76,232.76,0,0,232.76,-20.543806646525873,232.76
10-02-2025,AMZN,230.55,233.92,229.2,233.14,35419926,233.14,0,233.14,233.14,100,0,233.14,-16.52542372881359,233.14
07-02-2025,AMZN,232.5,234.81,228.06,229.15,78075433,229.15,100,229.15,229.15,0,0,229.15,-83.8518518518518,229.15
06-02-2025,AMZN,238.01,239.66,236.01,238.83,60897100,238.83,100,238.83,238.83,100,0,238.83,-22.739726027396788,238.83
05-02-2025,AMZN,237.02,238.32,235.2,236.17,38832042,236.17,100,236.17,236.17,0,0,236.17,-68.9102564102565,236.17
04-02-2025,AMZN,239.01,242.52,238.03,242.06,29713812,242.06,100,242.06,242.06,100,0,242.06,-10.244988864142696,242.06
03-02-2025,AMZN,234.06,239.25,232.9,237.42,37285900,237.42,100,237.42,237.42,0,0,237.42,-28.818897637795494,237.42
31-01-2025,AMZN,236.5,240.29,236.41,237.68,36162400,237.68,100,237.68,237.68,100,0,237.68,-67.2680412371131,237.68
30-01-2025,AMZN,237.14,237.95,232.22,234.64,32020728,234.64,100,234.64,234.64,0,0,234.64,-57.76614310645739,234.64
29-01-2025,AMZN,239.02,240.39,236.15,237.07,26091716,237.07,0,237.07,237.07,0,0,237.07,-78.30188679245302,237.07
28-01-2025,AMZN,234.29,241.77,233.98,238.15,41587200,238.15,100,238.15,238.15,100,0,238.15,-46.469833119383765,238.15
27-01-2025,AMZN,226.21,235.61,225.86,235.42,49428332,235.42,100,235.42,235.42,100,0,235.42,-1.948717948718217,235.42
24-01-2025,AMZN,234.5,236.4,232.93,234.85,25890738,234.85,100,234.85,234.85,0,0,234.85,-44.668587896253946,234.85
23-01-2025,AMZN,234.1,235.52,231.51,235.42,26404400,235.42,100,235.42,235.42,100,0,235.42,-2.4937655860354675,235.42
22-01-2025,AMZN,232.02,235.44,231.19,235.01,41448217,235.01,100,235.01,235.01,100,0,235.01,-10.117647058823689,235.01
21-01-2025,AMZN,228.9,231.78,226.94,230.71,39951500,230.71,100,230.71,230.71,100,0,230.71,-22.107438016528768,230.71
17-01-2025,AMZN,225.84,226.51,223.08,225.94,42370123,225.94,100,225.94,225.94,100,0,225.94,-16.61807580174918,225.94
16-01-2025,AMZN,224.42,224.65,220.31,220.66,24757300,220.66,100,220.66,220.66,0,0,220.66,-91.93548387096789,220.66
15-01-2025,AMZN,222.83,223.57,220.75,223.35,31291300,223.35,100,223.35,223.35,100,0,223.35,-7.80141843971629,223.35
14-01-2025,AMZN,220.44,221.82,216.2,217.76,24711700,217.76,100,217.76,217.76,0,0,217.76,-72.24199288256226,217.76
13-01-2025,AMZN,218.06,219.4,216.47,218.46,27262700,218.46,100,218.46,218.46,0,0,218.46,-32.081911262798485,218.46
10-01-2025,AMZN,221.46,221.71,216.5,218.94,36811525,218.94,100,218.94,218.94,0,0,218.94,-53.166986564299535,218.94
08-01-2025,AMZN,223.19,223.52,220.2,222.13,25033300,222.13,100,222.13,222.13,100,0,222.13,-41.86746987951825,222.13
07-01-2025,AMZN,227.9,228.38,221.46,222.11,28084200,222.11,100,222.11,222.11,0,0,222.11,-90.60693641618488,222.11
06-01-2025,AMZN,226.78,228.84,224.84,227.61,31849831,227.61,100,227.61,227.61,100,0,227.61,-30.749999999999744,227.61
03-01-2025,AMZN,222.51,225.36,221.62,224.19,27515606,224.19,100,224.19,224.19,100,0,224.19,-31.28342245989339,224.19
02-01-2025,AMZN,222.03,225.15,218.19,220.22,33956600,220.22,100,220.22,220.22,100,0,220.22,-70.83333333333334,220.22
31-12-2024,AMZN,222.97,223.23,218.94,219.39,24819700,219.39,100,219.39,219.39,0,0,219.39,-89.51048951048975,219.39
30-12-2024,AMZN,220.06,223.0,218.43,221.3,28321240,221.3,100,221.3,221.3,0,0,221.3,-37.19912472647683,221.3
27-12-2024,AMZN,225.6,226.03,220.9,223.75,27367147,223.75,100,223.75,223.75,0,0,223.75,-44.44444444444451,223.75
26-12-2024,AMZN,228.5,228.5,226.67,227.05,16174500,227.05,0,227.05,227.05,0,0,227.05,-79.23497267759446,227.05
24-12-2024,AMZN,226.94,229.14,226.13,229.05,15007500,229.05,100,229.05,229.05,100,0,229.05,-2.99003322259054,229.05
23-12-2024,AMZN,225.01,226.88,223.9,225.06,28070007,225.06,100,225.06,225.06,100,0,225.06,-61.073825503355685,225.06
20-12-2024,AMZN,219.84,226.21,218.73,224.92,88279200,224.92,100,224.92,224.92,100,0,224.92,-17.245989304813065,224.92
19-12-2024,AMZN,224.91,226.09,222.92,223.29,39918739,223.29,0,223.29,223.29,100,0,223.29,-88.3280757097791,223.29
18-12-2024,AMZN,230.77,231.4,220.11,220.52,43281443,220.52,100,220.52,220.52,0,0,220.52,-96.3684676705049,220.52
17-12-2024,AMZN,232.39,232.73,227.85,231.15,35948131,231.15,100,231.15,231.15,0,0,231.15,-32.377049180327575,231.15
16-12-2024,AMZN,230.23,233.0,228.01,232.93,37552100,232.93,100,232.93,232.93,100,0,232.93,-1.4028056112223055,232.93
13-12-2024,AMZN,228.4,230.2,225.86,227.46,28768100,227.46,100,227.46,227.46,0,0,227.46,-63.13364055299531,227.46
12-12-2024,AMZN,229.83,231.09,227.63,228.97,28204100,228.97,0,228.97,228.97,0,0,228.97,-61.27167630057803,228.97
11-12-2024,AMZN,226.41,231.2,226.26,230.26,35385800,230.26,100,230.26,230.26,100,0,230.26,-19.028340080971624,230.26
10-12-2024,AMZN,226.09,229.06,224.2,225.04,31199900,225.04,100,225.04,225.04,0,0,225.04,-82.71604938271602,225.04
09-12-2024,AMZN,227.21,230.08,225.67,226.09,46819400,226.09,100,226.09,226.09,0,0,226.09,-90.47619047619015,226.09
06-12-2024,AMZN,220.75,227.15,220.6,227.03,44178100,227.03,100,227.03,227.03,100,0,227.03,-1.8320610687023564,227.03
05-12-2024,AMZN,218.03,222.15,217.3,220.55,41140220,220.55,100,220.55,220.55,100,0,220.55,-32.9896907216494,220.55
04-12-2024,AMZN,215.96,220.0,215.75,218.16,48745716,218.16,100,218.16,218.16,100,0,218.16,-43.294117647058904,218.16
03-12-2024,AMZN,210.31,214.02,209.65,213.44,32214828,213.44,100,213.44,213.44,100,0,213.44,-13.27231121281492,213.44
02-12-2024,AMZN,209.96,212.99,209.51,210.71,39523200,210.71,100,210.71,210.71,100,0,210.71,-65.51724137931004,210.71
29-11-2024,AMZN,205.83,208.2,204.59,207.89,24892447,207.89,100,207.89,207.89,100,0,207.89,-8.58725761772863,207.89
27-11-2024,AMZN,206.98,207.64,205.05,205.74,28061638,205.74,0,205.74,205.74,0,0,205.74,-73.3590733590732,205.74
26-11-2024,AMZN,201.9,208.0,201.79,207.86,41673737,207.86,100,207.86,207.86,100,0,207.86,-2.254428341384641,207.86
25-11-2024,AMZN,199.28,201.95,199.0,201.45,40685700,201.45,100,201.45,201.45,100,0,201.45,-16.949152542372946,201.45
22-11-2024,AMZN,198.25,199.26,196.75,197.12,31530844,197.12,0,197.12,197.12,0,0,197.12,-85.25896414342607,197.12
21-11-2024,AMZN,203.49,203.49,195.75,198.38,58800042,198.38,100,198.38,198.38,0,0,198.38,-66.02067183462542,198.38
20-11-2024,AMZN,202.98,203.13,199.45,202.88,32769000,202.88,0,202.88,202.88,0,0,202.88,-6.793478260869552,202.88
19-11-2024,AMZN,199.33,205.3,198.78,204.61,31197900,204.61,100,204.61,204.61,100,0,204.61,-10.58282208588952,204.61
18-11-2024,AMZN,204.15,204.67,200.95,201.7,36512500,201.7,0,201.7,201.7,0,0,201.7,-79.83870967741935,201.7
15-11-2024,AMZN,206.76,207.34,199.61,202.61,86591144,202.61,100,202.61,202.61,0,0,202.61,-61.190168175937856,202.61
14-11-2024,AMZN,214.16,215.9,210.88,211.48,42620309,211.48,100,211.48,211.48,0,0,211.48,-88.04780876494037,211.48
13-11-2024,AMZN,209.4,215.09,209.14,214.1,46212943,214.1,100,214.1,214.1,100,0,214.1,-16.63865546218498,214.1
12-11-2024,AMZN,208.37,209.54,206.01,208.91,38942918,208.91,0,208.91,208.91,100,0,208.91,-17.847025495750575,208.91
11-11-2024,AMZN,208.5,209.65,205.59,206.84,35456012,206.84,100,206.84,206.84,0,0,206.84,-69.21182266009855,206.84
08-11-2024,AMZN,209.72,209.96,207.44,208.18,36075846,208.18,0,208.18,208.18,0,0,208.18,-70.63492063492039,208.18
07-11-2024,AMZN,207.44,212.25,207.19,210.05,52878400,210.05,100,210.05,210.05,100,0,210.05,-43.47826086956497,210.05
06-11-2024,AMZN,200.01,207.55,199.14,207.09,72292200,207.09,100,207.09,207.09,100,0,207.09,-5.469678953626713,207.09
05-11-2024,AMZN,196.04,199.82,195.99,199.5,30564800,199.5,100,199.5,199.5,100,0,199.5,-8.355091383811867,199.5
04-11-2024,AMZN,196.45,197.33,194.31,195.78,38492100,195.78,100,195.78,195.78,0,0,195.78,-51.32450331125848,195.78
01-11-2024,AMZN,199.0,200.5,197.02,197.93,99687847,197.93,100,197.93,197.93,100,0,197.93,-73.8505747126437,197.93
31-10-2024,AMZN,190.51,190.6,185.23,186.4,75146800,186.4,100,186.4,186.4,0,0,186.4,-78.21229050279301,186.4
30-10-2024,AMZN,194.7,195.61,192.42,192.73,37707600,192.73,100,192.73,192.73,100,0,192.73,-90.282131661442,192.73
29-10-2024,AMZN,188.58,191.46,187.82,190.83,35690200,190.83,100,190.83,190.83,100,0,190.83,-17.307692307692115,190.83
28-10-2024,AMZN,189.57,190.21,188.21,188.39,27930836,188.39,0,188.39,188.39,100,0,188.39,-91.00000000000108,188.39
25-10-2024,AMZN,187.85,190.45,187.53,187.83,29362100,187.83,100,187.83,187.83,100,0,187.83,-89.72602739725984,187.83
24-10-2024,AMZN,185.25,187.11,183.86,186.38,21647400,186.38,0,186.38,186.38,100,0,186.38,-22.46153846153902,186.38
23-10-2024,AMZN,188.85,189.16,183.69,184.71,31937100,184.71,100,184.71,184.71,0,0,184.71,-81.3528336380254,184.71
22-10-2024,AMZN,188.35,191.52,186.98,189.7,29650600,189.7,100,189.7,189.7,100,0,189.7,-40.08810572687254,189.7
21-10-2024,AMZN,188.05,189.46,186.4,189.07,24639400,189.07,0,189.07,189.07,100,0,189.07,-12.74509803921616,189.07
18-10-2024,AMZN,187.15,190.74,186.28,188.99,37417700,188.99,100,188.99,188.99,100,0,188.99,-39.23766816143491,188.99
17-10-2024,AMZN,188.22,188.94,186.0,187.53,25039414,187.53,100,187.53,187.53,100,0,187.53,-47.959183673469305,187.53
16-10-2024,AMZN,187.05,187.78,185.61,186.89,23456812,186.89,0,186.89,186.89,0,0,186.89,-41.01382488479354,186.89
15-10-2024,AMZN,187.63,188.41,184.58,187.69,32178925,187.69,100,187.69,187.69,100,0,187.69,-18.79895561357707,187.69
14-10-2024,AMZN,189.78,189.83,187.36,187.54,22614407,187.54,0,187.54,187.54,0,0,187.54,-92.71255060728832,187.54
11-10-2024,AMZN,186.63,189.93,186.3,188.82,25751600,188.82,100,188.82,188.82,100,0,188.82,-30.57851239669463,188.82
10-10-2024,AMZN,187.13,188.13,185.83,186.65,27785043,186.65,100,186.65,186.65,100,0,186.65,-64.34782608695654,186.65
09-10-2024,AMZN,182.82,185.85,182.05,185.17,26343117,185.17,100,185.17,185.17,100,0,185.17,-17.894736842105523,185.17
08-10-2024,AMZN,181.92,183.09,180.92,182.72,26372100,182.72,0,182.72,182.72,100,0,182.72,-17.050691244239715,182.72
07-10-2024,AMZN,182.95,183.6,180.25,180.8,42364201,180.8,100,180.8,180.8,0,0,180.8,-83.58208955223844,180.8
