date,symbol,open,high,low,close,volume,sma,adx,dema,ema,rsi,standardDeviation,tema,williams,wma
28-02-2025,GOOG,170.3,172.5,168.39,172.22,30026877,172.22,100,172.22,172.22,100,0,172.22,-6.812652068126527,172.22
27-02-2025,GOOG,175.94,176.59,169.75,170.21,25930530,170.21,100,170.21,170.21,0,0,170.21,-93.27485380116948,170.21
26-02-2025,GOOG,176.95,178.08,173.59,174.7,23693300,174.7,100,174.7,174.7,0,0,174.7,-75.278396436526,174.7
25-02-2025,GOOG,180.16,180.76,176.77,177.37,20832500,177.37,100,177.37,177.37,0,0,177.37,-84.96240601503766,177.37
24-02-2025,GOOG,183.8,185.09,180.88,181.19,18734014,181.19,100,181.19,181.19,0,0,181.19,-92.63657957244652,181.19
21-02-2025,GOOG,187.29,187.47,181.13,181.58,19520800,181.58,100,181.58,181.58,0,0,181.58,-92.90220820189248,181.58
20-02-2025,GOOG,186.5,187.12,184.6,186.64,12063807,186.64,100,186.64,186.64,0,0,186.64,-19.047619047619698,186.64
19-02-2025,GOOG,186.19,187.36,185.5,187.13,13120500,187.13,0,187.13,187.13,100,0,187.13,-12.365591397850348,187.13
18-02-2025,GOOG,187.44,187.78,183.58,185.8,19796028,185.8,100,185.8,185.8,0,0,185.8,-47.142857142857025,185.8
14-02-2025,GOOG,186.83,188.15,186.11,186.87,12714200,186.87,100,186.87,186.87,0,0,186.87,-62.74509803921598,186.87
13-02-2025,GOOG,185.93,187.99,184.88,187.88,12729334,187.88,100,187.88,187.88,100,0,187.88,-3.536977491961838,187.88
12-02-2025,GOOG,185.23,186.83,183.63,185.43,17632314,185.43,100,185.43,185.43,0,0,185.43,-43.74999999999994,185.43
11-02-2025,GOOG,186.84,188.8,186.08,187.07,13028100,187.07,100,187.07,187.07,0,0,187.07,-63.60294117647128,187.07
10-02-2025,GOOG,189.06,189.99,187.61,188.2,16606020,188.2,0,188.2,188.2,100,0,188.2,-75.21008403361445,188.2
07-02-2025,GOOG,192.74,193.02,185.1,187.14,29565724,187.14,100,187.14,187.14,0,0,187.14,-74.24242424242439,187.14
06-02-2025,GOOG,190.99,193.83,190.49,193.31,20816600,193.31,0,193.31,193.31,100,0,193.31,-15.56886227544939,193.31
05-02-2025,GOOG,193.1,194.55,189.91,193.3,43719589,193.3,100,193.3,193.3,0,0,193.3,-26.93965517241371,193.3
04-02-2025,GOOG,204.5,208.7,204.26,207.71,28285436,207.71,100,207.71,207.71,100,0,207.71,-22.297297297296872,207.71
03-02-2025,GOOG,202.22,205.22,201.66,202.64,16719500,202.64,100,202.64,202.64,0,0,202.64,-72.47191011235986,202.64
31-01-2025,GOOG,203.72,207.08,203.58,205.6,17087335,205.6,100,205.6,205.6,100,0,205.6,-42.2857142857148,205.6
30-01-2025,GOOG,199.76,203.24,199.47,202.63,14571500,202.63,100,202.63,202.63,100,0,202.63,-16.180371352785464,202.63
29-01-2025,GOOG,197.37,198.46,195.19,197.18,12287818,197.18,100,197.18,197.18,100,0,197.18,-39.143730886850065,197.18
28-01-2025,GOOG,194.65,197.23,192.61,197.07,15939200,197.07,100,197.07,197.07,100,0,197.07,-3.463203463203407,197.07
27-01-2025,GOOG,194.19,198.67,192.7,193.77,24970200,193.77,100,193.77,193.77,0,0,193.77,-82.0770519262978,193.77
24-01-2025,GOOG,199.85,202.57,199.78,201.9,12732400,201.9,100,201.9,201.9,100,0,201.9,-24.014336917562343,201.9
23-01-2025,GOOG,199.98,201.94,196.82,199.58,15170838,199.58,100,199.58,199.58,0,0,199.58,-46.09374999999967,199.58
22-01-2025,GOOG,200.55,202.12,199.2,200.03,15477400,200.03,100,200.03,200.03,100,0,200.03,-71.57534246575315,200.03
21-01-2025,GOOG,200.51,203.84,199.44,199.63,19005232,199.63,100,199.63,199.63,100,0,199.63,-95.68181818181824,199.63
17-01-2025,GOOG,198.05,198.81,195.31,197.55,22109129,197.55,100,197.55,197.55,100,0,197.55,-35.99999999999974,197.55
16-01-2025,GOOG,195.83,196.98,194.3,194.41,13449600,194.41,0,194.41,194.41,0,0,194.41,-95.8955223880602,194.41
15-01-2025,GOOG,194.35,197.8,193.33,196.98,12894900,196.98,100,196.98,196.98,100,0,196.98,-18.34451901566044,196.98
14-01-2025,GOOG,192.5,193.27,189.64,191.05,13651200,191.05,100,191.05,191.05,0,0,191.05,-61.15702479338799,191.05
13-01-2025,GOOG,191.35,192.49,188.66,192.29,13169100,192.29,100,192.29,192.29,0,0,192.29,-5.221932114882935,192.29
10-01-2025,GOOG,195.42,197.62,191.6,193.17,20753800,193.17,100,193.17,193.17,0,0,193.17,-73.92026578073106,193.17
08-01-2025,GOOG,193.95,197.64,193.75,195.39,14335341,195.39,100,195.39,195.39,0,0,195.39,-57.84061696658118,195.39
07-01-2025,GOOG,198.27,202.14,195.94,196.71,16966800,196.71,100,196.71,196.71,0,0,196.71,-87.58064516129014,196.71
06-01-2025,GOOG,195.15,199.56,195.06,197.96,19483323,197.96,100,197.96,197.96,100,0,197.96,-35.55555555555543,197.96
03-01-2025,GOOG,192.73,194.5,191.35,193.13,12875000,193.13,100,193.13,193.13,100,0,193.13,-43.49206349206356,193.13
02-01-2025,GOOG,191.49,193.2,188.71,190.63,17545200,190.63,100,190.63,190.63,100,0,190.63,-57.238307349666016,190.63
31-12-2024,GOOG,192.45,193.25,189.58,190.44,14355221,190.44,100,190.44,190.44,0,0,190.44,-76.56675749318833,190.44
30-12-2024,GOOG,190.87,193.78,190.36,192.69,12209534,192.69,100,192.69,192.69,0,0,192.69,-31.871345029239983,192.69
27-12-2024,GOOG,196.47,196.8,191.97,194.04,14693000,194.04,100,194.04,194.04,0,0,194.04,-57.142857142857395,194.04
