date,symbol,open,high,low,close,volume,sma,adx,dema,ema,rsi,standardDeviation,tema,williams,wma
28-02-2025,META,658.04,669.63,642.6,668.2,16952435,668.2,100,668.2,668.2,100,0,668.2,-5.2904180540138785,668.2
27-02-2025,META,682.45,688.65,657.57,658.24,12500013,658.24,100,658.24,658.24,0,0,658.24,-97.84427284427298,658.24
26-02-2025,META,659.65,683.01,658.0,673.7,14488705,673.7,100,673.7,673.7,100,0,673.7,-37.22510995601739,673.7
25-02-2025,META,665.97,668.0,641.86,657.5,20579700,657.5,100,657.5,657.5,0,0,657.5,-40.16832440703904,657.5
24-02-2025,META,686.28,687.27,662.45,668.13,15677000,668.13,100,668.13,668.13,0,0,668.13,-77.11522965350538,668.13
21-02-2025,META,696.58,703.87,682.36,683.55,15660400,683.55,100,683.55,683.55,0,0,683.55,-94.4676894467692,683.55
20-02-2025,META,697.28,705.63,693.64,694.84,12587408,694.84,100,694.84,694.84,0,0,694.84,-89.99165971642998,694.84
19-02-2025,META,704.1,707.0,695.39,703.77,17535500,703.77,100,703.77,703.77,0,0,703.77,-27.820844099913995,703.77
18-02-2025,META,736.0,737.0,706.44,716.37,21938703,716.37,100,716.37,716.37,0,0,716.37,-67.5065445026179,716.37
14-02-2025,META,726.14,740.91,725.62,736.67,16901249,736.67,100,736.67,736.67,100,0,736.67,-27.730542838456635,736.67
13-02-2025,META,721.52,729.0,718.04,728.56,12569100,728.56,100,728.56,728.56,100,0,728.56,-4.01459854014647,728.56
12-02-2025,META,715.3,727.1,712.6,725.38,12016517,725.38,100,725.38,725.38,100,0,725.38,-11.862068965517429,725.38
11-02-2025,META,713.32,723.66,710.04,719.8,12998000,719.8,100,719.8,719.8,100,0,719.8,-28.340675477239447,719.8
10-02-2025,META,718.56,721.2,711.33,717.4,12904317,717.4,100,717.4,717.4,100,0,717.4,-38.50050658561364,717.4
07-02-2025,META,716.8,725.01,711.75,714.52,16427100,714.52,100,714.52,714.52,100,0,714.52,-79.11010558069394,714.52
06-02-2025,META,705.88,718.9,703.5,711.99,13080700,711.99,100,711.99,711.99,100,0,711.99,-44.87012987012973,711.99
05-02-2025,META,703.55,718.14,699.01,704.87,17793766,704.87,100,704.87,704.87,100,0,704.87,-69.36748562467321,704.87
04-02-2025,META,702.5,707.71,691.61,704.19,13826300,704.19,100,704.19,704.19,100,0,704.19,-21.863354037266937,704.19
03-02-2025,META,675.91,704.0,675.25,697.46,21415739,697.46,100,697.46,697.46,100,0,697.46,-22.7478260869564,697.46
31-01-2025,META,691.0,705.3,685.58,689.18,19331700,689.18,0,689.18,689.18,100,0,689.18,-81.7444219066941,689.18
30-01-2025,META,696.82,710.79,676.1,687.0,29322900,687.0,100,687.0,687.0,100,0,687.0,-68.57884116460076,687.0
29-01-2025,META,675.0,681.05,665.67,676.49,21377820,676.49,0,676.49,676.49,100,0,676.49,-29.64889466840017,676.49
28-01-2025,META,666.0,682.58,659.47,674.33,20950107,674.33,100,674.33,674.33,100,0,674.33,-35.69883167459972,674.33
27-01-2025,META,626.61,663.87,625.1,659.88,28399200,659.88,100,659.88,659.88,100,0,659.88,-10.291462470982747,659.88
24-01-2025,META,636.4,652.0,634.2,647.49,19065329,647.49,100,647.49,647.49,100,0,647.49,-25.33707865168541,647.49
23-01-2025,META,627.36,636.6,621.15,636.45,9910200,636.45,100,636.45,636.45,100,0,636.45,-0.970873786407617,636.45
22-01-2025,META,623.3,633.7,619.43,623.5,12274011,623.5,100,623.5,623.5,100,0,623.5,-71.4786264891379,623.5
21-01-2025,META,617.83,621.5,609.01,616.46,11674016,616.46,0,616.46,616.46,100,0,616.46,-40.35228182546005,616.46
17-01-2025,META,624.05,624.97,603.67,612.77,17280600,612.77,100,612.77,612.77,100,0,612.77,-57.27699530516435,612.77
16-01-2025,META,611.5,616.25,609.71,611.3,8355349,611.3,0,611.3,611.3,0,0,611.3,-75.68807339449653,611.3
15-01-2025,META,610.21,622.46,606.5,617.12,15524302,617.12,100,617.12,617.12,100,0,617.12,-33.45864661654148,617.12
14-01-2025,META,605.07,605.49,588.55,594.25,13598000,594.25,100,594.25,594.25,0,0,594.25,-66.35182998819347,594.25
13-01-2025,META,607.1,608.97,598.45,608.33,10785031,608.33,0,608.33,608.33,0,0,608.33,-6.083650190113949,608.33
10-01-2025,META,610.03,629.91,597.34,615.86,19256600,615.86,100,615.86,615.86,100,0,615.86,-43.13785692354922,615.86
08-01-2025,META,613.4,616.44,602.79,610.72,10085846,610.72,100,610.72,610.72,0,0,610.72,-41.90476190476183,610.72
07-01-2025,META,631.7,632.1,608.23,617.89,12071500,617.89,100,617.89,617.89,0,0,617.89,-59.53079178885644,617.89
06-01-2025,META,611.83,630.99,605.62,630.2,14560800,630.2,100,630.2,630.2,100,0,630.2,-3.1139140717381295,630.2
03-01-2025,META,604.76,609.5,596.41,604.63,11436800,604.63,100,604.63,604.63,100,0,604.63,-37.20397249809009,604.63
02-01-2025,META,589.72,604.91,587.82,599.24,12682300,599.24,100,599.24,599.24,100,0,599.24,-33.177296664716124,599.24
31-12-2024,META,592.27,593.97,583.85,585.51,6019520,585.51,100,585.51,585.51,0,0,585.51,-83.59683794466434,585.51
30-12-2024,META,588.75,596.94,585.58,591.24,7025900,591.24,100,591.24,591.24,0,0,591.24,-50.17605633802851,591.24
27-12-2024,META,599.41,601.85,589.8,599.81,8084229,599.81,100,599.81,599.81,0,0,599.81,-16.929460580913407,599.81
26-12-2024,META,605.48,606.3,598.94,603.35,6091239,603.35,100,603.35,603.35,0,0,603.35,-40.081521739130054,603.35
24-12-2024,META,602.72,607.99,599.28,607.75,4726100,607.75,100,607.75,607.75,100,0,607.75,-2.7554535017222515,607.75
23-12-2024,META,589.6,601.09,586.25,599.85,10205800,599.85,0,599.85,599.85,100,0,599.85,-8.35579514824802,599.85
20-12-2024,META,590.58,603.11,580.0,585.25,48989400,585.25,100,585.25,585.25,0,0,585.25,-77.28256166161836,585.25
19-12-2024,META,610.39,611.52,595.0,595.57,14958100,595.57,100,595.57,595.57,0,0,595.57,-96.54963680387378,595.57
18-12-2024,META,621.0,627.36,596.32,597.19,17075500,597.19,100,597.19,597.19,0,0,597.19,-97.1971649484536,597.19
17-12-2024,META,626.17,632.37,616.54,619.44,12897842,619.44,100,619.44,619.44,0,0,619.44,-81.68035375868551,619.44
16-12-2024,META,629.98,631.15,618.58,624.24,10885625,624.24,100,624.24,624.24,100,0,624.24,-54.97215592680988,624.24
13-12-2024,META,627.22,631.08,616.89,620.35,8453349,620.35,100,620.35,620.35,0,0,620.35,-75.61663143058476,620.35
