date,symbol,open,high,low,close,volume,sma,adx,dema,ema,rsi,standardDeviation,tema,williams,wma
28-02-2025,MSFT,392.66,397.63,386.57,396.99,32845658,396.99,100,396.99,396.99,100,0,396.99,-5.786618444846169,396.99
27-02-2025,MSFT,401.27,405.74,392.17,392.53,21127406,392.53,100,392.53,392.53,0,0,392.53,-97.34708916728108,392.53
26-02-2025,MSFT,398.01,403.6,394.25,399.73,19619000,399.73,100,399.73,399.73,100,0,399.73,-41.39037433155075,399.73
25-02-2025,MSFT,401.1,401.92,396.7,397.9,29387402,397.9,100,397.9,397.9,0,0,397.9,-77.0114942528739,397.9
24-02-2025,MSFT,408.51,409.37,399.32,404.0,26443700,404.0,100,404.0,404.0,0,0,404.0,-53.432835820895505,404.0
21-02-2025,MSFT,417.34,418.05,407.89,408.21,27524800,408.21,100,408.21,408.21,0,0,408.21,-96.85039370078748,408.21
20-02-2025,MSFT,415.29,419.31,412.54,416.13,23508728,416.13,100,416.13,416.13,100,0,416.13,-46.97193500738575,416.13
19-02-2025,MSFT,407.88,415.49,407.65,414.77,24114200,414.77,100,414.77,414.77,100,0,414.77,-9.183673469388069,414.77
18-02-2025,MSFT,408.0,410.6,406.5,409.64,21423100,409.64,100,409.64,409.64,100,0,409.64,-23.41463414634222,409.64
14-02-2025,MSFT,407.79,408.91,405.88,408.43,22758500,408.43,100,408.43,408.43,0,0,408.43,-15.841584158416287,408.43
13-02-2025,MSFT,407.0,411.0,406.36,410.54,23891731,410.54,100,410.54,410.54,100,0,410.54,-9.913793103447864,410.54
12-02-2025,MSFT,407.21,410.75,404.37,409.04,19121734,409.04,100,409.04,409.04,0,0,409.04,-26.80250783699029,409.04
11-02-2025,MSFT,409.64,412.49,409.3,411.44,18140600,411.44,100,411.44,411.44,0,0,411.44,-32.915360501567775,411.44
10-02-2025,MSFT,413.71,415.46,410.92,412.22,20817919,412.22,0,412.22,412.22,100,0,412.22,-71.36563876651934,412.22
07-02-2025,MSFT,416.48,418.65,408.1,409.75,22886844,409.75,100,409.75,409.75,0,0,409.75,-84.36018957345986,409.75
06-02-2025,MSFT,414.0,418.2,414.0,415.82,16309800,415.82,100,415.82,415.82,100,0,415.82,-56.66666666666671,415.82
05-02-2025,MSFT,412.35,413.83,410.4,413.29,16336188,413.29,0,413.29,413.29,100,0,413.29,-15.74344023323506,413.29
04-02-2025,MSFT,412.69,413.92,409.74,412.37,20532100,412.37,0,412.37,412.37,100,0,412.37,-37.08133971291887,412.37
03-02-2025,MSFT,411.6,415.41,408.66,410.92,25679149,410.92,100,410.92,410.92,0,0,410.92,-66.51851851851866,410.92
31-01-2025,MSFT,418.98,420.69,414.91,415.06,34223400,415.06,0,415.06,415.06,100,0,415.06,-97.40484429065782,415.06
30-01-2025,MSFT,418.77,422.86,413.16,414.99,54586300,414.99,100,414.99,414.99,0,0,414.99,-81.13402061855685,414.99
29-01-2025,MSFT,446.69,446.88,440.4,442.33,23581400,442.33,0,442.33,442.33,0,0,442.33,-70.21604938271602,442.33
28-01-2025,MSFT,434.6,448.38,431.38,447.2,23491703,447.2,100,447.2,447.2,100,0,447.2,-6.9411764705882755,447.2
27-01-2025,MSFT,424.01,435.2,423.5,434.56,35647805,434.56,100,434.56,434.56,0,0,434.56,-5.470085470085359,434.56
24-01-2025,MSFT,445.16,446.65,441.4,444.06,15549500,444.06,100,444.06,444.06,0,0,444.06,-49.33333333333286,444.06
23-01-2025,MSFT,442.0,446.75,441.5,446.71,18389300,446.71,0,446.71,446.71,100,0,446.71,-0.7619047619051517,446.71
22-01-2025,MSFT,437.56,447.27,436.0,446.2,27803811,446.2,100,446.2,446.2,100,0,446.2,-9.49423247559889,446.2
21-01-2025,MSFT,430.2,430.9,425.6,428.5,26085703,428.5,100,428.5,428.5,0,0,428.5,-45.28301886792449,428.5
17-01-2025,MSFT,434.09,434.48,428.17,429.03,26197507,429.03,100,429.03,429.03,100,0,429.03,-86.37083993660924,429.03
16-01-2025,MSFT,428.7,429.49,424.39,424.58,15300023,424.58,100,424.58,424.58,0,0,424.58,-96.27450980392165,424.58
15-01-2025,MSFT,419.13,428.15,418.27,426.31,19637838,426.31,100,426.31,426.31,100,0,426.31,-18.62348178137627,426.31
14-01-2025,MSFT,417.81,419.74,410.72,415.67,16935900,415.67,100,415.67,415.67,0,0,415.67,-45.12195121951221,415.67
13-01-2025,MSFT,415.24,418.5,412.29,417.19,17604800,417.19,100,417.19,417.19,0,0,417.19,-21.095008051529895,417.19
10-01-2025,MSFT,424.63,424.71,415.02,418.95,20201132,418.95,100,418.95,418.95,0,0,418.95,-59.44272445820425,418.95
08-01-2025,MSFT,423.46,426.97,421.54,424.56,15054600,424.56,0,424.56,424.56,100,0,424.56,-44.38305709023982,424.56
07-01-2025,MSFT,429.0,430.65,420.8,422.37,18139100,422.37,100,422.37,422.37,0,0,422.37,-84.06091370558377,422.37
06-01-2025,MSFT,428.0,434.32,425.48,427.85,20573648,427.85,100,427.85,427.85,100,0,427.85,-73.19004524886866,427.85
03-01-2025,MSFT,421.08,424.03,419.54,423.35,16662943,423.35,0,423.35,423.35,100,0,423.35,-15.144766146992367,423.35
02-01-2025,MSFT,425.53,426.07,414.85,418.58,16896500,418.58,100,418.58,418.58,0,0,418.58,-66.75579322638173,418.58
31-12-2024,MSFT,426.1,426.73,420.66,421.5,13246509,421.5,100,421.5,421.5,0,0,421.5,-86.16144975288343,421.5
30-12-2024,MSFT,426.06,427.55,421.9,424.83,13158703,424.83,100,424.83,424.83,0,0,424.83,-48.14159292035418,424.83
27-12-2024,MSFT,434.6,435.22,426.35,430.53,18117713,430.53,100,430.53,430.53,0,0,430.53,-52.874859075536094,430.53
26-12-2024,MSFT,439.08,440.94,436.63,438.11,8199927,438.11,100,438.11,438.11,0,0,438.11,-65.66125290023162,438.11
24-12-2024,MSFT,434.65,439.6,434.19,439.33,7164543,439.33,100,439.33,439.33,100,0,439.33,-4.990757855823242,439.33
23-12-2024,MSFT,436.74,437.65,432.83,435.25,19152519,435.25,0,435.25,435.25,0,0,435.25,-49.79253112033155,435.25
20-12-2024,MSFT,433.11,443.74,428.63,436.6,64263700,436.6,100,436.6,436.6,0,0,436.6,-47.25347452018517,436.6
19-12-2024,MSFT,441.62,443.18,436.32,437.03,22963700,437.03,100,437.03,437.03,0,0,437.03,-89.65014577259507,437.03
18-12-2024,MSFT,451.32,452.65,437.02,437.39,24444545,437.39,100,437.39,437.39,0,0,437.39,-97.63275751759434,437.39
17-12-2024,MSFT,451.01,455.29,449.57,454.46,22733500,454.46,100,454.46,454.46,100,0,454.46,-14.510489510490157,454.46
16-12-2024,MSFT,447.27,452.18,445.28,451.59,23598834,451.59,100,451.59,451.59,100,0,451.59,-8.550724637681578,451.59
13-12-2024,MSFT,448.44,451.43,445.58,447.27,20177833,447.27,100,447.27,447.27,0,0,447.27,-71.11111111111126,447.27
12-12-2024,MSFT,449.11,456.16,449.11,449.56,20834800,449.56,100,449.56,449.56,100,0,449.56,-93.6170212765959,449.56
11-12-2024,MSFT,444.05,450.35,444.05,448.99,19200208,448.99,100,448.99,448.99,100,0,448.99,-21.587301587301766,448.99
10-12-2024,MSFT,444.39,449.62,441.6,443.33,18469500,443.33,100,443.33,443.33,0,0,443.33,-78.42892768079844,443.33
09-12-2024,MSFT,442.6,448.33,440.5,446.02,19144400,446.02,100,446.02,446.02,100,0,446.02,-29.501915708812348,446.02
06-12-2024,MSFT,442.3,446.1,441.77,443.57,18821002,443.57,100,443.57,443.57,100,0,443.57,-58.42956120092392,443.57
05-12-2024,MSFT,437.92,444.66,436.17,442.62,21697800,442.62,100,442.62,442.62,100,0,442.62,-24.02826855123696,442.62
04-12-2024,MSFT,433.03,439.67,432.63,437.42,26009429,437.42,100,437.42,437.42,100,0,437.42,-31.96022727272718,437.42
03-12-2024,MSFT,429.84,432.47,427.74,431.2,18302000,431.2,0,431.2,431.2,100,0,431.2,-26.849894291755472,431.2
02-12-2024,MSFT,421.57,433.0,421.31,430.98,20207223,430.98,100,430.98,430.98,100,0,430.98,-17.279726261762036,430.98
29-11-2024,MSFT,420.09,424.88,417.8,423.46,16271921,423.46,100,423.46,423.46,100,0,423.46,-20.056497175141512,423.46
27-11-2024,MSFT,425.11,427.23,422.02,422.99,18332444,422.99,0,422.99,422.99,0,0,422.99,-81.38195777351208,422.99
26-11-2024,MSFT,419.59,429.04,418.85,427.99,23458900,427.99,100,427.99,427.99,100,0,427.99,-10.304219823356345,427.99
25-11-2024,MSFT,418.38,421.08,414.85,418.79,27691100,418.79,100,418.79,418.79,100,0,418.79,-36.75762439807348,418.79
22-11-2024,MSFT,411.37,417.4,411.06,417.0,24814626,417.0,0,417.0,417.0,100,0,417.0,-6.309148264983894,417.0
21-11-2024,MSFT,419.5,419.78,410.29,412.87,20780200,412.87,100,412.87,412.87,0,0,412.87,-72.81348788198106,412.87
20-11-2024,MSFT,416.87,417.29,410.58,415.49,19191700,415.49,100,415.49,415.49,0,0,415.49,-26.825633383010455,415.49
19-11-2024,MSFT,413.11,417.94,411.55,417.79,18133529,417.79,100,417.79,417.79,100,0,417.79,-2.347417840375236,417.79
18-11-2024,MSFT,414.87,418.4,412.1,415.76,24742013,415.76,100,415.76,415.76,100,0,415.76,-41.90476190476199,415.76
15-11-2024,MSFT,419.82,422.8,413.64,415.0,28247644,415.0,100,415.0,415.0,0,0,415.0,-85.15283842794749,415.0
14-11-2024,MSFT,425.0,428.17,420.0,426.89,30246900,426.89,0,426.89,426.89,100,0,426.89,-15.667074663403024,426.89
13-11-2024,MSFT,421.64,429.33,418.21,425.2,21502200,425.2,100,425.2,425.2,100,0,425.2,-37.14028776978411,425.2
12-11-2024,MSFT,418.25,424.44,417.2,423.03,19401204,423.03,0,423.03,423.03,100,0,423.03,-19.47513812154728,423.03
11-11-2024,MSFT,422.52,424.81,416.0,418.01,24503321,418.01,100,418.01,418.01,0,0,418.01,-77.1850170261068,418.01
