date,symbol,open,high,low,close,volume,sma,adx,dema,ema,rsi,standardDeviation,tema,williams,wma
28-02-2025,NVDA,118.02,125.09,116.4,124.92,389091145,124.92,100,124.92,124.92,100,0,124.92,-1.9562715765247616,124.92
27-02-2025,NVDA,135.0,135.01,120.01,120.15,443175846,120.15,100,120.15,120.15,0,0,120.15,-99.06666666666666,120.15
26-02-2025,NVDA,129.99,133.73,128.49,131.28,322553814,131.28,100,131.28,131.28,100,0,131.28,-46.75572519083965,131.28
25-02-2025,NVDA,129.98,130.2,124.44,126.63,271428711,126.63,100,126.63,126.63,0,0,126.63,-61.97916666666664,126.63
24-02-2025,NVDA,136.56,138.59,130.08,130.28,251381137,130.28,100,130.28,130.28,0,0,130.28,-97.6498237367804,130.28
21-02-2025,NVDA,140.04,141.46,134.03,134.43,228217600,134.43,100,134.43,134.43,0,0,134.43,-94.61641991924624,134.43
20-02-2025,NVDA,140.03,140.66,136.79,140.11,143903600,140.11,100,140.11,140.11,100,0,140.11,-14.211886304909102,140.11
19-02-2025,NVDA,139.51,141.36,137.22,139.23,167536006,139.23,100,139.23,139.23,0,0,139.23,-51.449275362319234,139.23
18-02-2025,NVDA,141.27,143.44,137.93,139.4,219176627,139.4,100,139.4,139.4,100,0,139.4,-73.32123411978219,139.4
14-02-2025,NVDA,136.48,139.25,135.5,138.85,195479600,138.85,100,138.85,138.85,100,0,138.85,-10.66666666666682,138.85
13-02-2025,NVDA,131.56,136.5,131.17,135.29,197430000,135.29,100,135.29,135.29,100,0,135.29,-22.70168855534719,135.29
12-02-2025,NVDA,130.02,132.24,129.08,131.14,160278600,131.14,100,131.14,131.14,0,0,131.14,-34.81012658227924,131.14
11-02-2025,NVDA,132.58,134.48,131.02,132.8,178902400,132.8,0,132.8,132.8,0,0,132.8,-48.55491329479735,132.8
10-02-2025,NVDA,130.09,135.0,129.96,133.57,216989100,133.57,100,133.57,133.57,100,0,133.57,-28.373015873016055,133.57
07-02-2025,NVDA,129.22,130.37,125.0,129.84,228186300,129.84,100,129.84,129.84,100,0,129.84,-9.869646182495355,129.84
06-02-2025,NVDA,127.42,128.77,125.21,128.68,251483600,128.68,100,128.68,128.68,100,0,128.68,-2.5280898876405336,128.68
05-02-2025,NVDA,121.76,125.0,120.76,124.83,263110629,124.83,100,124.83,124.83,100,0,124.83,-4.009433962264196,124.83
04-02-2025,NVDA,116.96,121.2,116.7,118.65,256550040,118.65,100,118.65,118.65,100,0,118.65,-56.6666666666666,118.65
03-02-2025,NVDA,114.75,118.57,113.01,116.66,371235700,116.66,100,116.66,116.66,0,0,116.66,-34.35251798561153,116.66
31-01-2025,NVDA,123.78,127.85,119.19,120.07,390372900,120.07,100,120.07,120.07,0,0,120.07,-89.83833718244809,120.07
30-01-2025,NVDA,123.1,125.0,118.1,124.65,392925500,124.65,100,124.65,124.65,100,0,124.65,-5.072463768115855,124.65
29-01-2025,NVDA,126.5,126.89,120.05,123.7,467120640,123.7,0,123.7,123.7,0,0,123.7,-46.637426900584735,123.7
