date,sector,exchange,pe
2025-02-28,Technology,NASDAQ,54.70679545739448
2025-02-27,Technology,NASDAQ,54.20283726219836
2025-02-26,Technology,NASDAQ,58.14310290911627
2025-02-25,Technology,NASDAQ,56.886902627037514
2025-02-24,Technology,NASDAQ,58.05093056785688
2025-02-21,Technology,NASDAQ,60.179995500617096
2025-02-20,Technology,NASDAQ,62.199043507297446
2025-02-19,Technology,NASDAQ,62.985694195299885
2025-02-18,Technology,NASDAQ,63.67635938862752
2025-02-17,Technology,NASDAQ,63.675435439821136
2025-02-14,Technology,NASDAQ,63.11733284919359
2025-02-13,Technology,NASDAQ,64.34709646336373
2025-02-12,Technology,NASDAQ,63.832910311717285
2025-02-11,Technology,NASDAQ,63.509459585866885
2025-02-10,Technology,NASDAQ,63.99457323546268
2025-02-07,Technology,NASDAQ,62.010560829149384
2025-02-06,Technology,NASDAQ,63.0030814911496
2025-02-05,Technology,NASDAQ,62.14883358619117
2025-02-04,Technology,NASDAQ,61.213129450344056
2025-02-03,Technology,NASDAQ,58.76598050138438
2025-01-31,Technology,NASDAQ,58.549616279586935
2025-01-30,Technology,NASDAQ,58.37602120496633
2025-01-29,Technology,NASDAQ,57.86584811105691
2025-01-28,Technology,NASDAQ,58.32184028367691
2025-01-27,Technology,NASDAQ,55.94631328346
2025-01-24,Technology,NASDAQ,62.10585345795013
2025-01-23,Technology,NASDAQ,62.17496270591688
2025-01-22,Technology,NASDAQ,62.49811572309003
2025-01-21,Technology,NASDAQ,60.73962730368779
2025-01-20,Technology,NASDAQ,59.727215100292426
2025-01-17,Technology,NASDAQ,59.727296810947955
2025-01-16,Technology,NASDAQ,58.40590927192804
2025-01-15,Technology,NASDAQ,58.66813348930992
2025-01-14,Technology,NASDAQ,57.58433981466474
2025-01-13,Technology,NASDAQ,57.00267766846135
2025-01-10,Technology,NASDAQ,58.48581558565451
2025-01-09,Technology,NASDAQ,59.80945124738512
2025-01-08,Technology,NASDAQ,59.61086803652576
2025-01-07,Technology,NASDAQ,59.960262896577
2025-01-06,Technology,NASDAQ,62.28833240992065
2025-01-03,Technology,NASDAQ,61.42007146039122
2025-01-02,Technology,NASDAQ,59.84189857903308
2025-01-01,Technology,NASDAQ,59.61485605792425
2024-12-31,Technology,NASDAQ,59.61484868689211
2024-12-30,Technology,NASDAQ,60.53000466893665
2024-12-27,Technology,NASDAQ,61.50556452547662
2024-12-26,Technology,NASDAQ,62.587979620807
2024-12-25,Technology,NASDAQ,62.30983983094916
2024-12-24,Technology,NASDAQ,62.306249973220645
2024-12-23,Technology,NASDAQ,61.17135080824091
2024-12-20,Technology,NASDAQ,59.88497752267007
2024-12-19,Technology,NASDAQ,58.453762268443576
2024-12-18,Technology,NASDAQ,59.40541418962072
